id,dteday,season,month,hour,is_holiday,weekday,is_workingday,weather_situation,count
48,2011-01-03,1,1,0,0,1,1,1,5
49,2011-01-03,1,1,1,0,1,1,1,2
50,2011-01-03,1,1,4,0,1,1,1,1
51,2011-01-03,1,1,5,0,1,1,1,3
52,2011-01-03,1,1,6,0,1,1,1,30
53,2011-01-03,1,1,7,0,1,1,1,64
54,2011-01-03,1,1,8,0,1,1,1,154
55,2011-01-03,1,1,9,0,1,1,1,88
56,2011-01-03,1,1,10,0,1,1,1,44
57,2011-01-03,1,1,11,0,1,1,1,51
58,2011-01-03,1,1,12,0,1,1,1,61
59,2011-01-03,1,1,13,0,1,1,1,61
60,2011-01-03,1,1,14,0,1,1,1,77
61,2011-01-03,1,1,15,0,1,1,1,72
62,2011-01-03,1,1,16,0,1,1,1,76
63,2011-01-03,1,1,17,0,1,1,1,157
64,2011-01-03,1,1,18,0,1,1,1,157
65,2011-01-03,1,1,19,0,1,1,1,110
66,2011-01-03,1,1,20,0,1,1,1,52
67,2011-01-03,1,1,21,0,1,1,1,52
68,2011-01-03,1,1,22,0,1,1,1,20
69,2011-01-03,1,1,23,0,1,1,1,12
70,2011-01-04,1,1,0,0,2,1,1,5
71,2011-01-04,1,1,1,0,2,1,1,2
72,2011-01-04,1,1,2,0,2,1,1,1
73,2011-01-04,1,1,4,0,2,1,1,2
74,2011-01-04,1,1,5,0,2,1,1,4
75,2011-01-04,1,1,6,0,2,1,1,36
76,2011-01-04,1,1,7,0,2,1,1,94
77,2011-01-04,1,1,8,0,2,1,1,179
78,2011-01-04,1,1,9,0,2,1,1,100
79,2011-01-04,1,1,10,0,2,1,2,42
80,2011-01-04,1,1,11,0,2,1,1,57
81,2011-01-04,1,1,12,0,2,1,1,78
82,2011-01-04,1,1,13,0,2,1,1,97
83,2011-01-04,1,1,14,0,2,1,1,63
84,2011-01-04,1,1,15,0,2,1,1,65
85,2011-01-04,1,1,16,0,2,1,1,83
86,2011-01-04,1,1,17,0,2,1,1,212
87,2011-01-04,1,1,18,0,2,1,1,182
88,2011-01-04,1,1,19,0,2,1,1,112
89,2011-01-04,1,1,20,0,2,1,1,54
90,2011-01-04,1,1,21,0,2,1,1,48
91,2011-01-04,1,1,22,0,2,1,1,35
92,2011-01-04,1,1,23,0,2,1,1,11
93,2011-01-05,1,1,0,0,3,1,1,6
94,2011-01-05,1,1,1,0,3,1,1,6
95,2011-01-05,1,1,2,0,3,1,1,2
96,2011-01-05,1,1,4,0,3,1,1,2
97,2011-01-05,1,1,5,0,3,1,1,3
98,2011-01-05,1,1,6,0,3,1,1,33
99,2011-01-05,1,1,7,0,3,1,1,88
100,2011-01-05,1,1,8,0,3,1,1,195
101,2011-01-05,1,1,9,0,3,1,1,115
102,2011-01-05,1,1,10,0,3,1,1,57
103,2011-01-05,1,1,11,0,3,1,1,46
104,2011-01-05,1,1,12,0,3,1,1,79
105,2011-01-05,1,1,13,0,3,1,1,71
106,2011-01-05,1,1,14,0,3,1,1,62
107,2011-01-05,1,1,15,0,3,1,1,62
108,2011-01-05,1,1,16,0,3,1,1,89
109,2011-01-05,1,1,17,0,3,1,1,190
110,2011-01-05,1,1,18,0,3,1,1,169
111,2011-01-05,1,1,19,0,3,1,1,132
112,2011-01-05,1,1,20,0,3,1,1,89
113,2011-01-05,1,1,21,0,3,1,1,43
114,2011-01-05,1,1,22,0,3,1,1,42
115,2011-01-05,1,1,23,0,3,1,1,19
116,2011-01-06,1,1,0,0,4,1,1,11
117,2011-01-06,1,1,1,0,4,1,1,4
118,2011-01-06,1,1,2,0,4,1,1,2
119,2011-01-06,1,1,4,0,4,1,2,1
120,2011-01-06,1,1,5,0,4,1,2,4
121,2011-01-06,1,1,6,0,4,1,2,36
122,2011-01-06,1,1,7,0,4,1,2,95
123,2011-01-06,1,1,8,0,4,1,1,219
124,2011-01-06,1,1,9,0,4,1,2,122
125,2011-01-06,1,1,10,0,4,1,1,45
126,2011-01-06,1,1,11,0,4,1,1,59
127,2011-01-06,1,1,12,0,4,1,1,84
128,2011-01-06,1,1,13,0,4,1,1,67
129,2011-01-06,1,1,14,0,4,1,1,70
130,2011-01-06,1,1,15,0,4,1,1,62
131,2011-01-06,1,1,16,0,4,1,1,86
132,2011-01-06,1,1,17,0,4,1,1,172
133,2011-01-06,1,1,18,0,4,1,1,163
134,2011-01-06,1,1,19,0,4,1,1,112
135,2011-01-06,1,1,20,0,4,1,1,69
136,2011-01-06,1,1,21,0,4,1,2,48
137,2011-01-06,1,1,22,0,4,1,2,52
138,2011-01-06,1,1,23,0,4,1,2,23
139,2011-01-07,1,1,0,0,5,1,2,17
140,2011-01-07,1,1,1,0,5,1,2,7
141,2011-01-07,1,1,2,0,5,1,2,1
142,2011-01-07,1,1,4,0,5,1,2,1
143,2011-01-07,1,1,5,0,5,1,3,5
144,2011-01-07,1,1,6,0,5,1,2,34
145,2011-01-07,1,1,7,0,5,1,1,84
146,2011-01-07,1,1,8,0,5,1,1,210
147,2011-01-07,1,1,9,0,5,1,1,134
148,2011-01-07,1,1,10,0,5,1,1,63
149,2011-01-07,1,1,11,0,5,1,2,67
150,2011-01-07,1,1,12,0,5,1,2,59
151,2011-01-07,1,1,13,0,5,1,2,73
152,2011-01-07,1,1,14,0,5,1,2,50
153,2011-01-07,1,1,15,0,5,1,2,72
154,2011-01-07,1,1,16,0,5,1,2,87
155,2011-01-07,1,1,17,0,5,1,2,187
156,2011-01-07,1,1,18,0,5,1,1,123
157,2011-01-07,1,1,19,0,5,1,1,95
158,2011-01-07,1,1,20,0,5,1,1,51
159,2011-01-07,1,1,21,0,5,1,1,39
160,2011-01-07,1,1,22,0,5,1,2,36
161,2011-01-07,1,1,23,0,5,1,2,15
162,2011-01-08,1,1,0,0,6,0,2,25
163,2011-01-08,1,1,1,0,6,0,2,16
164,2011-01-08,1,1,2,0,6,0,2,16
165,2011-01-08,1,1,3,0,6,0,3,7
166,2011-01-08,1,1,4,0,6,0,3,1
167,2011-01-08,1,1,5,0,6,0,2,5
168,2011-01-08,1,1,6,0,6,0,2,2
169,2011-01-08,1,1,7,0,6,0,2,9
170,2011-01-08,1,1,8,0,6,0,3,15
171,2011-01-08,1,1,9,0,6,0,3,20
172,2011-01-08,1,1,10,0,6,0,2,61
173,2011-01-08,1,1,11,0,6,0,2,62
174,2011-01-08,1,1,12,0,6,0,2,98
175,2011-01-08,1,1,13,0,6,0,1,102
176,2011-01-08,1,1,14,0,6,0,1,95
177,2011-01-08,1,1,15,0,6,0,1,74
178,2011-01-08,1,1,16,0,6,0,1,76
179,2011-01-08,1,1,17,0,6,0,1,69
180,2011-01-08,1,1,18,0,6,0,1,55
181,2011-01-08,1,1,19,0,6,0,1,30
182,2011-01-08,1,1,20,0,6,0,1,28
183,2011-01-08,1,1,21,0,6,0,1,37
184,2011-01-08,1,1,22,0,6,0,1,34
185,2011-01-08,1,1,23,0,6,0,1,22
186,2011-01-09,1,1,0,0,0,0,1,25
187,2011-01-09,1,1,1,0,0,0,1,12
188,2011-01-09,1,1,2,0,0,0,1,11
189,2011-01-09,1,1,3,0,0,0,1,4
190,2011-01-09,1,1,4,0,0,0,1,1
191,2011-01-09,1,1,5,0,0,0,1,1
192,2011-01-09,1,1,6,0,0,0,1,1
193,2011-01-09,1,1,7,0,0,0,1,6
194,2011-01-09,1,1,8,0,0,0,1,10
195,2011-01-09,1,1,9,0,0,0,1,19
196,2011-01-09,1,1,10,0,0,0,1,49
197,2011-01-09,1,1,11,0,0,0,1,49
198,2011-01-09,1,1,12,0,0,0,1,83
199,2011-01-09,1,1,13,0,0,0,1,75
200,2011-01-09,1,1,14,0,0,0,1,72
201,2011-01-09,1,1,15,0,0,0,1,82
202,2011-01-09,1,1,16,0,0,0,1,92
203,2011-01-09,1,1,17,0,0,0,1,62
204,2011-01-09,1,1,18,0,0,0,1,48
205,2011-01-09,1,1,19,0,0,0,1,41
206,2011-01-09,1,1,20,0,0,0,1,38
207,2011-01-09,1,1,21,0,0,0,1,20
208,2011-01-09,1,1,22,0,0,0,1,15
209,2011-01-09,1,1,23,0,0,0,1,6
210,2011-01-10,1,1,0,0,1,1,1,5
211,2011-01-10,1,1,1,0,1,1,1,1
212,2011-01-10,1,1,2,0,1,1,1,3
213,2011-01-10,1,1,3,0,1,1,1,1
214,2011-01-10,1,1,4,0,1,1,1,3
215,2011-01-10,1,1,5,0,1,1,1,3
216,2011-01-10,1,1,6,0,1,1,1,31
217,2011-01-10,1,1,7,0,1,1,1,77
218,2011-01-10,1,1,8,0,1,1,2,188
219,2011-01-10,1,1,9,0,1,1,2,94
220,2011-01-10,1,1,10,0,1,1,2,31
221,2011-01-10,1,1,11,0,1,1,2,30
222,2011-01-10,1,1,12,0,1,1,2,52
223,2011-01-10,1,1,13,0,1,1,2,54
224,2011-01-10,1,1,14,0,1,1,2,47
225,2011-01-10,1,1,15,0,1,1,2,45
226,2011-01-10,1,1,16,0,1,1,1,74
227,2011-01-10,1,1,17,0,1,1,1,178
228,2011-01-10,1,1,18,0,1,1,1,155
229,2011-01-10,1,1,19,0,1,1,1,95
230,2011-01-10,1,1,20,0,1,1,1,74
231,2011-01-10,1,1,21,0,1,1,1,38
232,2011-01-10,1,1,22,0,1,1,1,24
233,2011-01-10,1,1,23,0,1,1,1,18
234,2011-01-11,1,1,0,0,2,1,1,12
235,2011-01-11,1,1,1,0,2,1,1,3
236,2011-01-11,1,1,2,0,2,1,2,3
237,2011-01-11,1,1,5,0,2,1,2,6
238,2011-01-11,1,1,6,0,2,1,2,27
239,2011-01-11,1,1,7,0,2,1,2,99
240,2011-01-11,1,1,8,0,2,1,2,217
241,2011-01-11,1,1,9,0,2,1,2,130
242,2011-01-11,1,1,10,0,2,1,2,54
243,2011-01-11,1,1,11,0,2,1,2,35
244,2011-01-11,1,1,12,0,2,1,2,57
245,2011-01-11,1,1,13,0,2,1,2,52
246,2011-01-11,1,1,14,0,2,1,2,63
247,2011-01-11,1,1,15,0,2,1,2,47
248,2011-01-11,1,1,16,0,2,1,2,76
249,2011-01-11,1,1,17,0,2,1,2,136
250,2011-01-11,1,1,18,0,2,1,3,95
251,2011-01-11,1,1,19,0,2,1,3,51
252,2011-01-11,1,1,20,0,2,1,3,32
253,2011-01-11,1,1,21,0,2,1,3,20
254,2011-01-11,1,1,22,0,2,1,3,29
255,2011-01-11,1,1,23,0,2,1,3,19
256,2011-01-12,1,1,0,0,3,1,2,7
257,2011-01-12,1,1,1,0,3,1,2,6
258,2011-01-12,1,1,2,0,3,1,1,1
259,2011-01-12,1,1,5,0,3,1,1,5
260,2011-01-12,1,1,6,0,3,1,1,16
261,2011-01-12,1,1,7,0,3,1,1,54
262,2011-01-12,1,1,8,0,3,1,1,128
263,2011-01-12,1,1,9,0,3,1,1,81
264,2011-01-12,1,1,10,0,3,1,1,39
265,2011-01-12,1,1,11,0,3,1,1,35
266,2011-01-12,1,1,12,0,3,1,1,55
267,2011-01-12,1,1,13,0,3,1,1,49
268,2011-01-12,1,1,14,0,3,1,1,44
269,2011-01-12,1,1,15,0,3,1,1,49
270,2011-01-12,1,1,16,0,3,1,1,68
271,2011-01-12,1,1,17,0,3,1,1,139
272,2011-01-12,1,1,18,0,3,1,1,137
273,2011-01-12,1,1,19,0,3,1,1,83
274,2011-01-12,1,1,20,0,3,1,1,56
275,2011-01-12,1,1,21,0,3,1,1,57
276,2011-01-12,1,1,22,0,3,1,1,33
277,2011-01-12,1,1,23,0,3,1,1,20
278,2011-01-13,1,1,0,0,4,1,1,7
279,2011-01-13,1,1,1,0,4,1,1,2
280,2011-01-13,1,1,2,0,4,1,1,2
281,2011-01-13,1,1,3,0,4,1,1,3
282,2011-01-13,1,1,4,0,4,1,1,4
283,2011-01-13,1,1,5,0,4,1,1,3
284,2011-01-13,1,1,6,0,4,1,1,28
285,2011-01-13,1,1,7,0,4,1,1,72
286,2011-01-13,1,1,8,0,4,1,1,202
287,2011-01-13,1,1,9,0,4,1,1,139
288,2011-01-13,1,1,10,0,4,1,2,38
289,2011-01-13,1,1,11,0,4,1,2,37
290,2011-01-13,1,1,12,0,4,1,1,52
291,2011-01-13,1,1,13,0,4,1,1,83
292,2011-01-13,1,1,14,0,4,1,1,42
293,2011-01-13,1,1,15,0,4,1,1,60
294,2011-01-13,1,1,16,0,4,1,1,78
295,2011-01-13,1,1,17,0,4,1,1,162
296,2011-01-13,1,1,18,0,4,1,1,144
297,2011-01-13,1,1,19,0,4,1,1,99
298,2011-01-13,1,1,20,0,4,1,1,64
299,2011-01-13,1,1,21,0,4,1,1,40
300,2011-01-13,1,1,22,0,4,1,1,30
301,2011-01-13,1,1,23,0,4,1,1,15
302,2011-01-14,1,1,0,0,5,1,1,14
303,2011-01-14,1,1,1,0,5,1,1,5
304,2011-01-14,1,1,2,0,5,1,1,1
305,2011-01-14,1,1,3,0,5,1,1,1
306,2011-01-14,1,1,5,0,5,1,1,8
307,2011-01-14,1,1,6,0,5,1,1,17
308,2011-01-14,1,1,7,0,5,1,1,70
309,2011-01-14,1,1,8,0,5,1,1,158
310,2011-01-14,1,1,9,0,5,1,1,117
311,2011-01-14,1,1,10,0,5,1,1,44
312,2011-01-14,1,1,11,0,5,1,1,53
313,2011-01-14,1,1,12,0,5,1,1,61
314,2011-01-14,1,1,13,0,5,1,1,77
315,2011-01-14,1,1,14,0,5,1,1,64
316,2011-01-14,1,1,15,0,5,1,1,68
317,2011-01-14,1,1,16,0,5,1,1,90
318,2011-01-14,1,1,17,0,5,1,1,159
319,2011-01-14,1,1,18,0,5,1,1,139
320,2011-01-14,1,1,19,0,5,1,1,92
321,2011-01-14,1,1,20,0,5,1,1,68
322,2011-01-14,1,1,21,0,5,1,1,52
323,2011-01-14,1,1,22,0,5,1,2,36
324,2011-01-14,1,1,23,0,5,1,2,27
325,2011-01-15,1,1,0,0,6,0,1,28
326,2011-01-15,1,1,1,0,6,0,2,20
327,2011-01-15,1,1,2,0,6,0,2,12
328,2011-01-15,1,1,3,0,6,0,2,8
329,2011-01-15,1,1,4,0,6,0,2,5
330,2011-01-15,1,1,5,0,6,0,1,1
331,2011-01-15,1,1,6,0,6,0,1,3
332,2011-01-15,1,1,7,0,6,0,1,10
333,2011-01-15,1,1,8,0,6,0,1,23
334,2011-01-15,1,1,9,0,6,0,1,33
335,2011-01-15,1,1,10,0,6,0,1,59
336,2011-01-15,1,1,11,0,6,0,1,72
337,2011-01-15,1,1,12,0,6,0,1,89
338,2011-01-15,1,1,13,0,6,0,1,101
339,2011-01-15,1,1,14,0,6,0,1,118
340,2011-01-15,1,1,15,0,6,0,2,129
341,2011-01-15,1,1,16,0,6,0,2,128
342,2011-01-15,1,1,17,0,6,0,2,83
343,2011-01-15,1,1,18,0,6,0,2,84
344,2011-01-15,1,1,19,0,6,0,2,74
345,2011-01-15,1,1,20,0,6,0,2,41
346,2011-01-15,1,1,21,0,6,0,2,57
347,2011-01-15,1,1,22,0,6,0,2,26
348,2011-01-15,1,1,23,0,6,0,1,44
349,2011-01-16,1,1,0,0,0,0,1,39
350,2011-01-16,1,1,1,0,0,0,1,23
351,2011-01-16,1,1,2,0,0,0,1,16
352,2011-01-16,1,1,3,0,0,0,1,15
353,2011-01-16,1,1,4,0,0,0,1,1
354,2011-01-16,1,1,5,0,0,0,2,2
355,2011-01-16,1,1,6,0,0,0,2,1
356,2011-01-16,1,1,7,0,0,0,2,3
357,2011-01-16,1,1,8,0,0,0,1,18
358,2011-01-16,1,1,9,0,0,0,1,32
359,2011-01-16,1,1,10,0,0,0,1,79
360,2011-01-16,1,1,11,0,0,0,1,93
361,2011-01-16,1,1,12,0,0,0,1,104
362,2011-01-16,1,1,13,0,0,0,1,118
363,2011-01-16,1,1,14,0,0,0,1,91
364,2011-01-16,1,1,15,0,0,0,1,113
365,2011-01-16,1,1,16,0,0,0,1,99
366,2011-01-16,1,1,17,0,0,0,1,105
367,2011-01-16,1,1,18,0,0,0,1,67
368,2011-01-16,1,1,19,0,0,0,1,61
369,2011-01-16,1,1,20,0,0,0,1,57
370,2011-01-16,1,1,21,0,0,0,1,28
371,2011-01-16,1,1,22,0,0,0,2,21
372,2011-01-16,1,1,23,0,0,0,2,18
373,2011-01-17,1,1,0,1,1,0,2,17
374,2011-01-17,1,1,1,1,1,0,2,16
375,2011-01-17,1,1,2,1,1,0,2,8
376,2011-01-17,1,1,3,1,1,0,2,2
377,2011-01-17,1,1,4,1,1,0,2,3
378,2011-01-17,1,1,5,1,1,0,2,1
379,2011-01-17,1,1,6,1,1,0,2,5
380,2011-01-17,1,1,7,1,1,0,2,13
381,2011-01-17,1,1,8,1,1,0,2,33
382,2011-01-17,1,1,9,1,1,0,2,47
383,2011-01-17,1,1,10,1,1,0,2,57
384,2011-01-17,1,1,11,1,1,0,2,64
385,2011-01-17,1,1,12,1,1,0,2,80
386,2011-01-17,1,1,13,1,1,0,2,93
387,2011-01-17,1,1,14,1,1,0,2,86
388,2011-01-17,1,1,15,1,1,0,2,93
389,2011-01-17,1,1,16,1,1,0,2,82
390,2011-01-17,1,1,17,1,1,0,1,71
391,2011-01-17,1,1,18,1,1,0,2,92
392,2011-01-17,1,1,19,1,1,0,3,60
393,2011-01-17,1,1,20,1,1,0,3,33
394,2011-01-17,1,1,21,1,1,0,3,27
395,2011-01-17,1,1,22,1,1,0,3,13
396,2011-01-17,1,1,23,1,1,0,3,4
397,2011-01-18,1,1,12,0,2,1,2,3
398,2011-01-18,1,1,13,0,2,1,2,22
399,2011-01-18,1,1,14,0,2,1,2,28
400,2011-01-18,1,1,15,0,2,1,2,35
401,2011-01-18,1,1,16,0,2,1,2,61
402,2011-01-18,1,1,17,0,2,1,2,125
403,2011-01-18,1,1,18,0,2,1,2,133
404,2011-01-18,1,1,19,0,2,1,2,99
405,2011-01-18,1,1,20,0,2,1,2,83
406,2011-01-18,1,1,21,0,2,1,2,41
407,2011-01-18,1,1,22,0,2,1,2,33
408,2011-01-18,1,1,23,0,2,1,2,20
409,2011-01-19,1,1,0,0,3,1,2,3
410,2011-01-19,1,1,1,0,3,1,3,7
411,2011-01-19,1,1,2,0,3,1,3,3
412,2011-01-19,1,1,4,0,3,1,3,2
413,2011-01-19,1,1,5,0,3,1,2,7
414,2011-01-19,1,1,6,0,3,1,2,32
415,2011-01-19,1,1,7,0,3,1,2,90
416,2011-01-19,1,1,8,0,3,1,2,197
417,2011-01-19,1,1,9,0,3,1,2,109
418,2011-01-19,1,1,10,0,3,1,2,47
419,2011-01-19,1,1,11,0,3,1,2,52
420,2011-01-19,1,1,12,0,3,1,2,70
421,2011-01-19,1,1,13,0,3,1,1,78
422,2011-01-19,1,1,14,0,3,1,1,75
423,2011-01-19,1,1,15,0,3,1,1,82
424,2011-01-19,1,1,16,0,3,1,1,104
425,2011-01-19,1,1,17,0,3,1,1,197
426,2011-01-19,1,1,18,0,3,1,1,161
427,2011-01-19,1,1,19,0,3,1,1,112
428,2011-01-19,1,1,20,0,3,1,1,76
429,2011-01-19,1,1,21,0,3,1,1,59
430,2011-01-19,1,1,22,0,3,1,1,59
431,2011-01-19,1,1,23,0,3,1,1,28
432,2011-01-20,1,1,0,0,4,1,1,13
433,2011-01-20,1,1,1,0,4,1,1,5
434,2011-01-20,1,1,2,0,4,1,1,2
435,2011-01-20,1,1,3,0,4,1,1,1
436,2011-01-20,1,1,4,0,4,1,1,1
437,2011-01-20,1,1,5,0,4,1,1,6
438,2011-01-20,1,1,6,0,4,1,1,35
439,2011-01-20,1,1,7,0,4,1,1,101
440,2011-01-20,1,1,8,0,4,1,1,249
441,2011-01-20,1,1,9,0,4,1,2,143
442,2011-01-20,1,1,10,0,4,1,1,57
443,2011-01-20,1,1,11,0,4,1,2,68
444,2011-01-20,1,1,12,0,4,1,2,84
445,2011-01-20,1,1,13,0,4,1,2,98
446,2011-01-20,1,1,14,0,4,1,2,81
447,2011-01-20,1,1,15,0,4,1,2,70
448,2011-01-20,1,1,16,0,4,1,2,91
449,2011-01-20,1,1,17,0,4,1,2,215
450,2011-01-20,1,1,18,0,4,1,2,185
451,2011-01-20,1,1,19,0,4,1,1,152
452,2011-01-20,1,1,20,0,4,1,2,126
453,2011-01-20,1,1,21,0,4,1,2,57
454,2011-01-20,1,1,22,0,4,1,2,56
455,2011-01-20,1,1,23,0,4,1,2,31
456,2011-01-21,1,1,0,0,5,1,2,21
457,2011-01-21,1,1,1,0,5,1,2,6
458,2011-01-21,1,1,2,0,5,1,3,2
459,2011-01-21,1,1,3,0,5,1,3,1
460,2011-01-21,1,1,4,0,5,1,2,1
461,2011-01-21,1,1,5,0,5,1,1,5
462,2011-01-21,1,1,6,0,5,1,1,27
463,2011-01-21,1,1,7,0,5,1,1,68
464,2011-01-21,1,1,8,0,5,1,1,217
465,2011-01-21,1,1,9,0,5,1,1,166
466,2011-01-21,1,1,10,0,5,1,1,63
467,2011-01-21,1,1,11,0,5,1,1,59
468,2011-01-21,1,1,12,0,5,1,1,78
469,2011-01-21,1,1,13,0,5,1,1,73
470,2011-01-21,1,1,14,0,5,1,1,62
471,2011-01-21,1,1,15,0,5,1,1,65
472,2011-01-21,1,1,16,0,5,1,1,97
473,2011-01-21,1,1,17,0,5,1,1,161
474,2011-01-21,1,1,18,0,5,1,1,120
475,2011-01-21,1,1,19,0,5,1,1,96
476,2011-01-21,1,1,20,0,5,1,1,53
477,2011-01-21,1,1,21,0,5,1,1,41
478,2011-01-21,1,1,22,0,5,1,1,34
479,2011-01-21,1,1,23,0,5,1,1,27
480,2011-01-22,1,1,0,0,6,0,1,13
481,2011-01-22,1,1,1,0,6,0,2,12
482,2011-01-22,1,1,2,0,6,0,2,11
483,2011-01-22,1,1,3,0,6,0,2,7
484,2011-01-22,1,1,4,0,6,0,2,3
485,2011-01-22,1,1,6,0,6,0,2,2
486,2011-01-22,1,1,7,0,6,0,1,8
487,2011-01-22,1,1,8,0,6,0,1,27
488,2011-01-22,1,1,9,0,6,0,1,40
489,2011-01-22,1,1,10,0,6,0,2,53
490,2011-01-22,1,1,11,0,6,0,2,63
491,2011-01-22,1,1,12,0,6,0,2,70
492,2011-01-22,1,1,13,0,6,0,1,84
493,2011-01-22,1,1,14,0,6,0,1,75
494,2011-01-22,1,1,15,0,6,0,1,103
495,2011-01-22,1,1,16,0,6,0,1,83
496,2011-01-22,1,1,17,0,6,0,1,67
497,2011-01-22,1,1,18,0,6,0,1,54
498,2011-01-22,1,1,19,0,6,0,1,59
499,2011-01-22,1,1,20,0,6,0,1,45
500,2011-01-22,1,1,21,0,6,0,1,39
501,2011-01-22,1,1,22,0,6,0,1,30
502,2011-01-22,1,1,23,0,6,0,1,33
503,2011-01-23,1,1,0,0,0,0,1,22
504,2011-01-23,1,1,1,0,0,0,1,13
505,2011-01-23,1,1,2,0,0,0,1,18
506,2011-01-23,1,1,3,0,0,0,1,5
507,2011-01-23,1,1,5,0,0,0,2,3
508,2011-01-23,1,1,6,0,0,0,2,1
509,2011-01-23,1,1,7,0,0,0,1,2
510,2011-01-23,1,1,8,0,0,0,1,19
511,2011-01-23,1,1,9,0,0,0,1,28
512,2011-01-23,1,1,10,0,0,0,1,58
513,2011-01-23,1,1,11,0,0,0,1,99
514,2011-01-23,1,1,12,0,0,0,1,116
515,2011-01-23,1,1,13,0,0,0,1,87
516,2011-01-23,1,1,14,0,0,0,1,110
517,2011-01-23,1,1,15,0,0,0,1,77
518,2011-01-23,1,1,16,0,0,0,1,65
519,2011-01-23,1,1,17,0,0,0,1,55
520,2011-01-23,1,1,18,0,0,0,1,49
521,2011-01-23,1,1,19,0,0,0,1,50
522,2011-01-23,1,1,20,0,0,0,1,35
523,2011-01-23,1,1,21,0,0,0,1,25
524,2011-01-23,1,1,22,0,0,0,1,28
525,2011-01-23,1,1,23,0,0,0,1,21
526,2011-01-24,1,1,0,0,1,1,1,7
527,2011-01-24,1,1,1,0,1,1,1,1
528,2011-01-24,1,1,3,0,1,1,1,1
529,2011-01-24,1,1,4,0,1,1,1,1
530,2011-01-24,1,1,5,0,1,1,1,5
531,2011-01-24,1,1,6,0,1,1,1,15
532,2011-01-24,1,1,7,0,1,1,1,84
533,2011-01-24,1,1,8,0,1,1,1,177
534,2011-01-24,1,1,9,0,1,1,1,102
535,2011-01-24,1,1,10,0,1,1,1,40
536,2011-01-24,1,1,11,0,1,1,1,46
537,2011-01-24,1,1,12,0,1,1,2,63
538,2011-01-24,1,1,13,0,1,1,2,60
539,2011-01-24,1,1,14,0,1,1,2,45
540,2011-01-24,1,1,15,0,1,1,1,57
541,2011-01-24,1,1,16,0,1,1,1,70
542,2011-01-24,1,1,17,0,1,1,1,184
543,2011-01-24,1,1,18,0,1,1,1,153
544,2011-01-24,1,1,19,0,1,1,1,106
545,2011-01-24,1,1,20,0,1,1,1,81
546,2011-01-24,1,1,21,0,1,1,1,59
547,2011-01-24,1,1,22,0,1,1,2,35
548,2011-01-24,1,1,23,0,1,1,2,24
549,2011-01-25,1,1,0,0,2,1,2,9
550,2011-01-25,1,1,1,0,2,1,2,5
551,2011-01-25,1,1,2,0,2,1,1,2
552,2011-01-25,1,1,4,0,2,1,1,1
553,2011-01-25,1,1,5,0,2,1,1,9
554,2011-01-25,1,1,6,0,2,1,1,36
555,2011-01-25,1,1,7,0,2,1,1,108
556,2011-01-25,1,1,8,0,2,1,2,238
557,2011-01-25,1,1,9,0,2,1,2,144
